lambda_nm,a_R,b_R,c_R,a_G,b_G,c_G,a_B,b_B,c_B,alpha_1,alpha_2,alpha_3,R2,RMSE
569.711792,-1.051414e-02,2.402066e-01,2.121532e+00,6.379248e-03,1.798907e-01,1.906511e+00,-1.763395e-02,2.876583e-01,3.904333e+00,539.893873,118.351309,-260.792412,0.998392,8.345699
572.804810,-1.224546e-02,2.429606e-01,1.892837e+00,-7.444175e-03,2.536460e-01,1.690180e+00,-1.389834e-02,2.353081e-01,3.865159e+00,-397.839325,584.996179,27.217362,0.997267,8.969458
576.002625,-3.192188e-03,1.697907e-01,1.746340e+00,-6.240376e-03,2.023212e-01,1.650070e+00,-2.561307e-03,1.348526e-01,3.823091e+00,874.322087,-384.804430,-161.900210,0.997159,7.518338
579.202148,-1.483927e-03,1.370835e-01,1.793404e+00,-3.019519e-03,1.522249e-01,1.723139e+00,-2.094569e-03,1.172117e-01,3.846655e+00,281.878550,128.238020,-102.091513,0.997983,5.127875
582.300049,-7.769406e-03,1.885209e-01,1.715759e+00,-7.460336e-03,1.832220e-01,1.663822e+00,-3.810928e-03,1.212614e-01,3.884269e+00,-12220.349315,12757.764217,14.372609,0.990180,9.240130
585.502869,-3.589753e-03,1.046021e-01,1.855777e+00,-4.435677e-03,1.088086e-01,1.732599e+00,3.821046e-03,-2.402656e-03,4.124306e+00,3126.946700,-2848.541334,-148.404725,0.992958,6.495919
588.603943,2.569877e-03,3.178076e-02,2.114434e+00,-5.931922e-03,1.018707e-01,1.629501e+00,6.042459e-03,-4.133800e-02,4.173062e+00,393.662909,58.716722,-160.059060,0.988147,6.851716
591.809998,5.086977e-03,1.949204e-02,2.220091e+00,-1.249207e-02,1.706049e-01,1.442720e+00,1.011951e-02,-7.575703e-02,4.223669e+00,249.641955,40.235117,-54.637947,0.995247,3.619813
595.017578,7.406142e-03,-4.542015e-02,2.379599e+00,-8.652404e-03,1.062903e-01,1.625890e+00,1.431707e-02,-1.502329e-01,4.492445e+00,376.654649,78.233241,-164.018100,0.991866,3.451765
598.123169,1.182413e-03,-2.764634e-02,2.372194e+00,-3.404390e-03,4.723117e-02,1.739674e+00,2.482090e-03,-4.052477e-02,4.356383e+00,-1101.998855,167.702767,585.285367,0.926527,8.162454
601.333740,-6.141473e-03,4.925181e-02,2.238226e+00,-6.624537e-03,9.474830e-02,1.633694e+00,-6.050996e-03,5.084767e-02,4.171036e+00,-406.835696,219.596249,203.056741,0.977534,3.950592
604.442078,-4.236164e-03,1.810912e-02,2.370255e+00,-3.504529e-03,4.288280e-02,1.898938e+00,-4.193324e-03,1.043917e-02,4.382918e+00,-301.116663,330.537295,84.496963,0.940844,5.056545
607.655640,-3.213904e-03,3.154926e-02,2.160829e+00,-1.229978e-03,3.131016e-02,1.858793e+00,-4.778223e-03,4.569291e-02,4.165915e+00,739.183008,330.326109,-469.330078,0.857137,7.541529
610.870483,-1.247290e-03,2.331179e-02,2.062606e+00,1.497554e-03,1.423747e-02,1.758199e+00,-1.941704e-03,3.226403e-02,4.062109e+00,767.046826,29.784478,-335.930459,0.960281,2.719317
613.982910,-8.360044e-04,1.221926e-02,2.136506e+00,2.380487e-03,7.909045e-03,1.747461e+00,1.110999e-03,-1.816356e-02,4.263627e+00,224.162919,81.247461,-81.096577,0.899919,3.769597
617.200500,-1.967966e-03,2.589674e-02,2.124497e+00,3.637085e-04,3.041906e-02,1.734013e+00,4.572171e-05,-9.136214e-03,4.271209e+00,123.897698,58.250267,-35.040902,0.865544,3.271860
620.315430,4.958203e-03,-5.734983e-02,2.292840e+00,4.358164e-03,-3.341427e-02,2.042894e+00,2.461051e-03,-2.341734e-02,4.206476e+00,-119.545758,135.695031,42.721125,0.836908,3.140711
623.535522,9.391894e-03,-1.075941e-01,2.337218e+00,7.705997e-03,-7.311371e-02,2.149576e+00,4.689198e-03,-4.152394e-02,4.149037e+00,-113.186749,83.960755,83.390935,0.868354,2.575242
626.756958,6.074705e-03,-6.709041e-02,2.195070e+00,6.881966e-03,-5.430010e-02,2.001630e+00,5.581520e-03,-4.727949e-02,4.071807e+00,-123.625143,-56.738749,156.730383,0.347175,4.854559
