Grupo,Identificacao,Cor,Principal_RGB,Comprimento_Onda_Medio_nm,Desvio_Padrao_nm,Incerteza_Expandida_nm,Erro_Padrao_Media_nm,Min_nm,Max_nm,Range_nm,Intensidade_Media,Intensidade_Desvio_Padrao,Coeficiente_Variacao_Intensidade_%,Intensidade_Min,Intensidade_Max,Num_Detecoes,Taxa_Deteccao_%
12,Grupo 12,Azul,Não,374.22968329922077,1.5110053069572127,0.15093560374386578,0.07700796109380907,371.7371826,376.6087952,4.871612599999992,57.36623376623377,16.691702111297527,29.096736905050925,15.0,114.0,385,100.0
13,Grupo 13,Azul,Não,379.24712035027324,1.3566739922875048,0.13899239174931644,0.07091448558638594,376.70632930000005,381.5879211,4.881591799999967,58.549180327868854,17.734620174984137,30.290125456363775,21.0,120.0,366,100.0
14,Grupo 14,Azul,Não,384.1370782212766,1.46579686446179,0.1481616948131303,0.07559270143527055,381.6856689,386.57702640000014,4.89135750000014,51.3563829787234,14.732299633196085,28.68640425728497,2.0,95.0,376,100.0
15,Grupo 15,Azul,Não,389.115092340872,1.3978885303438484,0.14301960714167586,0.07296918731718156,386.67495730000013,391.4779053,4.802947999999844,55.56948228882834,15.64339437066524,28.15105292749898,7.0,102.0,367,100.0
16,Grupo 16,Azul,Não,393.9903815958101,1.3392497476766112,0.1387318351747528,0.07078154855854735,391.6741638,396.5847778,4.91061400000001,61.23184357541899,14.386789476378937,23.495600714126454,19.0,100.0,358,100.0
17,Grupo 17,Azul,Não,399.18508933614464,1.5979788545945162,0.15374572584941143,0.0784416968619446,396.68307500000003,401.6030884,4.920013399999959,68.93975903614458,15.116575505525713,21.92722416914775,26.0,115.0,415,100.0
18,Grupo 18,Azul,Não,404.3123335942693,1.3874888579601892,0.14557032853061136,0.07427057578092416,401.7015991000001,406.63085940000013,4.92926030000001,76.95988538681948,14.834086096947585,19.275088602832227,26.0,118.0,349,100.0
19,Grupo 19,Azul,Não,409.18235286010935,1.445825711559515,0.14812606038350837,0.0755745206038308,406.7295532,411.5690918,4.839538600000026,104.68306010928961,19.706144996169993,18.824578662103196,55.0,165.0,366,100.0
20,Grupo 20,Azul,Não,414.239253308043,1.4581846410911967,0.1479837999463809,0.07550193874815352,411.6679382,416.6151428,4.9472046000000205,164.64879356568363,27.329382350679566,16.59859253069899,96.0,227.0,373,100.0
21,Grupo 21,Azul,Não,419.22276040760875,1.4081776273270084,0.14387641309668275,0.07340633321259324,416.71420290000003,421.5710754,4.856872499999952,298.5326086956522,57.31331758385408,19.198344138775077,167.0,418.0,368,100.0
22,Grupo 22,Azul,Não,424.14517729088544,1.4446939124217941,0.1444994858974881,0.07372422749871842,421.6702881,426.6349182,4.964630100000022,562.2213541666666,101.66262981051159,18.082313853268264,365.0,804.0,384,100.0
23,Grupo 23,Azul,Não,429.1859253583126,1.475077615368382,0.14401854561080296,0.07347884980143009,426.734314,431.60797119999995,4.873657199999968,1043.0843672456576,185.18089267987543,17.7532037191641,739.0,1426.0,403,100.0
24,Grupo 24,Azul,Não,434.21103935844155,1.4269478052671014,0.14253902849136257,0.0727239941282462,431.7075195,436.58929439999997,4.881774899999982,1861.5714285714287,294.93804207106666,15.84349853808201,1338.0,2447.0,385,100.0
25,Grupo 25,Azul,Não,439.1323787739131,1.4150993161770133,0.14026671102174063,0.07156464848047991,436.68902590000005,441.57879640000004,4.889770499999997,3135.8056265984656,454.08043799902725,14.480503324167657,2332.0,3991.0,391,100.0
26,Grupo 26,Azul,Não,444.0570687039703,1.4504787822916316,0.1416168495057802,0.07225349464580623,441.67868039999996,446.5763245,4.897644100000036,4968.024813895781,626.3424781062284,12.607474832942083,3927.0,6233.0,403,100.0
27,Grupo 27,Azul,Não,449.0569470710462,1.4560286780322413,0.14076837245029114,0.07182059818892406,446.67636109999995,451.58172610000014,4.905365000000188,7518.532846715329,895.9234727589254,11.916200820354645,6009.0,9278.0,411,100.0
